iter	Passed	Remaining
912	2879	274
913	2883	271
914	2885	268
915	2889	264
916	2892	261
917	2895	258
918	2898	255
919	2901	252
920	2904	249
921	2907	245
922	2910	242
923	2913	239
924	2916	236
925	2919	233
926	2922	230
927	2925	226
928	2927	223
929	2930	220
930	2933	217
931	2936	214
932	2939	211
933	2942	207
934	2945	204
935	2948	201
936	2951	198
937	2954	195
938	2957	192
939	2959	188
940	2962	185
941	2965	182
942	2969	179
943	2972	176
944	2975	173
945	2978	170
946	2981	166
947	2984	163
948	2987	160
949	2991	157
950	2994	154
951	2997	151
952	3000	147
953	3003	144
954	3006	141
955	3009	138
956	3012	135
957	3015	132
958	3018	129
959	3021	125
960	3024	122
961	3027	119
962	3031	116
963	3033	113
964	3037	110
965	3040	107
966	3043	103
967	3046	100
968	3049	97
969	3052	94
970	3055	91
971	3058	88
972	3061	84
973	3064	81
974	3067	78
975	3070	75
976	3073	72
977	3076	69
978	3079	66
979	3083	62
980	3087	59
981	3090	56
982	3094	53
983	3098	50
984	3101	47
985	3104	44
986	3108	40
987	3111	37
988	3114	34
989	3118	31
990	3121	28
991	3125	25
992	3128	22
993	3131	18
994	3135	15
995	3138	12
996	3141	9
997	3144	6
998	3149	3
999	3152	0
